22,茶,お茶,chá,我喜欢喝茶。,Wǒ xǐhuan hē chá 。,私はお茶が好きだ。,動詞述語文
23,水果,果物,shuǐguǒ,我喜欢吃水果。,Wǒ xǐhuan chī shuǐguǒ．,私は果物が好きです。,動詞述語文
24,香蕉,バナナ,xiāngjiāo,我要香蕉。,Wǒ yào xiāngjiāo．,私はバナナがほしい。,動詞述語文
25,裤子,ズボン・パンツ,kùzi,这是一条漂亮的裤子。,Zhè shì yī tiáo piàoliang de kùzi。,これはすてきなズボンです。,“是”構文
26,衬衫,シャツ・ブラウス,chènshān,我的衬衫是蓝的。,Wǒ de chènshān shì lán de。,私のシャツはブルーです。,“是”構文
27,鞋,靴,xié,我买一双鞋。,Wǒ mǎi yì shuāng xié 。,私は靴を１足買う。,動詞述語文
28,帽子,帽子,màozi,她戴着红帽子。,Tā dàizhe hóng màozi．,彼女は赤い帽子をかぶっている。,形容詞述語文と持続の“着”
29,房子,家,fángzi,我买了自己的房子。,Wǒ mǎile zìjǐ de fángzi．,私は自分の家を買った。,完了の“了”
30,房间,部屋,fángjiān,这是我的房间。,Zhè shì wǒ de fángjiān．,これは私の部屋です。,“是”構文
31,厕所,トイレ,cèsuǒ,厕所在哪儿?,Cèsuǒ zài nǎr?,トイレはどこですか？,疑問詞疑問文
32,门,ドア・出口,mén,我发现门都开着。,Wǒ fāxiàn mén dōu kāizhe．,ドアが開いているのに気づいた。,動詞述語文
33,自行车,自転車,zìxíngchē,我骑自行车上学。,Wǒ qí zìxíngchē shàngxué．,私は自転車で通学します。,連動文
34,汽车,自動車,qìchē,我儿子喜欢看汽车。,Wǒ érzi xǐhuan kàn qìchē．,うちの息子は自動車を見るのが好きです。,動詞述語文
35,公共汽车,路線バス,gōnggòng qìchē,我坐公共汽车上班。,Wǒ zuò gōnggòng qìchē shàngbān.,私はバスで通勤している。,連動文
36,出租车,タクシー,chūzūchē,在日本打出租车很贵。,Zài Rìběn dǎchūzūchē hěn guì．,日本ではタクシーはとても高い。,形容詞述語文と介詞“在”
37,地铁,地下鉄,dìtiě,我坐地铁去新宿。,Wǒ zuò dìtiě qù xīnsù．,私は地下鉄で新宿に行きます。,連動文
38,火车,列車・汽車,huǒchē,我们坐火车去上海。,Wǒmen zuò huǒchē qù Shànghǎi．,私たちは汽車で上海に行きます。,連動文
39,电车,電車・トロリーバス,diànchē,我们下一站得改坐电车。,Wǒmen xià yí zhàn děi gǎi zuò diànchē.,私たちは次の駅で電車に乗り換えなければなりません。,助動詞“得”
40,车站,駅,chēzhàn,车站在哪儿?,Chēzhàn nài nǎr?,駅はどこですか？,疑問詞疑問文
41,飞机,飛行機,fēijī,我坐飞机去上海。,Wǒ zuò fēijī qù．,私は飛行機で上海に行く。,連動文
42,机场,空港,jīchǎng,我去机场。,Wǒ qù jīchǎng．,私は空港に行く。,動詞述語文
43,东西,物（もの）,dōngxi,我去买东西。,Wǒ qù mǎi dōngxi．,私は買い物に行く。,動詞述語文
44,床,ベッド,chuáng,我在床上看书。,Wǒ zài chuángshang kàn shū．,私はベッドで本を読む。,介詞“在”
45,桌子,机,zhuōzi,你的手机在桌子上。,Nǐ de shǒujī zài zhuōzi shang ma?,あなたのケータイは机の上にある。,存在を表す動詞の“在”
46,椅子,椅子,yǐzi,他的手机在椅子上。,Tā de shǒujī zài yǐzi shang．,彼のケータイは椅子の上にある。,存在を表す動詞の“在”
47,电视,テレビ,diànshì,我不喜欢看电视。,Wǒ bù xǐhuan kàn diànshì．,私はテレビを見るのが好きではありません。,否定の“不”と未然の“没”
48,电话,電話,diànhuà,你给我打个电话吧。,Nǐ gěi wǒ dǎ ge diànhuà ba．,私にお電話ください。,介詞“给”
49,票,チケット,piào,我买票。,Wǒ mǎi piào．,私はチケットを買います。,動詞述語文
50,书包,書類かばん,shūbāo,你的课本在书包里。,Nǐ de kèběn zài shūbāo li．,あなたのテキストはかばんの中にある。,存在を表す動詞の“在”
51,钱,お金,qián,你有多少钱？,Nǐ yǒu duōshao qián ?,君、いくら持ってる？,疑問詞疑問文
52,工作,仕事,gōngzuò,他在找工作。,Tā zài zhǎo gōngzuò．,彼は仕事をさがしている。,進行形
53,工厂,工場,gōngchǎng,我爸爸在工厂里工作。,Wǒ bàba zài gōngchǎng li gōngzuò．,父は工場で働いています。,介詞“在”
54,工人,工場労働者,gōngrén,愿意做工人的年轻人少了。,Yuànyi zuò gōngrén de niánqīngrén shǎo le．,ブルーカラーになりたがる若者は減った。,助動詞“愿意”
55,公司,会社,gōngsī,我哥哥是公司职员。,Wǒ gēge shì gōngsī zhíyuán．,兄は会社員です。,“是”構文
56,商店,店・商店,shāngdiàn,我们去商店买东西。,Wǒmen qù shāngdiàn mǎi dōngxi.,私たちは商店に買い物に行く。,連動文
57,书店,本屋,shūdiàn,我去书店。,Wǒ qù shūdiàn．,私は本屋に行く。,動詞述語文
58,医生,医者,yīshēng,他是医生。,Tā shì yīshēng．,彼は医者です。,“是”構文
59,司机,運転手,sījī,她丈夫是个出租汽车司机。,Tā zhàngfu shì ge chūzū qìchē sījī.,彼女の夫はタクシーの運転手です。,“是”構文
60,邮局,郵便局,yóujú,那是邮局。,Nà shì yóujú．,あれは郵便局です。,“是”構文
61,图书馆,図書館,túshūguǎn,我在图书馆里学习。,Wǒ zài túshūguǎn li xuéxí．,私は図書館で勉強する。,介詞“在”
62,公园,公園,gōngyuán,我家的旁边有一个公园。,Wǒ jiā pángbiān yǒu yíge gōngyuán．,うちのそばに公園がある。,存在を表す動詞の“有”
63,日本,日本,Rìběn,中国和日本是一衣带水的近邻。,Zhōngguó hé Rìběn shì yī yī dài shuǐ de jìnlín.,中国と日本は一衣帯水（いちいたいすい）の隣国です。,“是”構文
64,中国,中国,Zhōngguó,中国是一个地大物博的国家。,Zhōngguó shì yí ge dì dà wù bó de guójiā.,中国は土地が広く物産が豊富な国である。,“是”構文
65,外国,外国,wàiguó,有的人为了出国就跟外国人结婚。,yǒu de rén wèile chūguó jiù gēn wàiguórén jiéhūn.,海外に出るために外国人と結婚する人もいる。,介詞“为”
66,日本人,日本人,Rìběnrén,我是日本人。,Wǒ shì Rìběnrén．,私は日本人です。,“是”構文
67,中国人,中国人,Zhōngguórén,我妈妈是中国人。,Wǒ māma shì Zhōngguórén．,私の母は中国人です。,“是”構文
68,外语,外国語,wàiyǔ,我不会说外语。,Wǒ hú huì shuō wàiyǔ．,私は外国語が離せません。,助動詞“会”
69,汉语,中国語,Hànyǔ,我学习汉语。,Wǒ xuéxí Hànyǔ．,私は中国語を勉強します。,動詞述語文
70,中文,中国語の文,Zhōngwén,我写中文日记。,Wǒ xiě Zhōngwén rìjì．,私は中国語で日記をつける。,動詞述語文
71,汉字,漢字,Hànzì,这些汉字，你能写吗？,Zhè xiē Hànzì，nǐ néng xiě ma?,これらの漢字、あなた書けますか？,助動詞“能”
72,字,字,zì,小王擦掉他昨天写的字。,Xiǎo Wáng cādiào tā zuótiān xiě de zì.,王君は昨日自分が書いた字を消した。,結果補語
73,日语,日本語,Rìyǔ,他会说日语。,Tā huì shuō Rìyǔ.,彼は日本語が話せる。,助動詞“会”
74,学校,学校,xuéxiào,我去学校。,Wǒ qù xuéxiào．,私は学校に行く。,動詞述語文
75,大学,大学,dàxué,这是我的大学。,Zhè shì wǒ de dàxué．,これは私の大学です。,“是”構文
76,老师,先生,lǎoshī,她是汉语老师。,Tā shì Hànyǔ lǎoshī．,彼女は中国語の先生です。,“是”構文
77,学生,学生・生徒,xuésheng(xuéshēng),我是学生。,Wǒ shì xuésheng．,私は学生です。,“是”構文
78,留学生,留学生,liúxuéshēng,他是中国留学生。,Tā shì Zhōngguó liúxuéshēng.,彼は中国人留学生です。,“是”構文
79,系,学科（学部）,xì,我是中文系的学生。,Wǒ shì Zhōngwén xì de xuésheng.,私は中文科の学生です。,“是”構文
80,年级,学年,niánjí,他是大学四年级的学生。,Tā shì dàxué sì niánjí de xuésheng.,彼は大学４年生です。,“是”構文
81,班,クラス,bān,我们班里有十个学生。,Wǒmen bānli yǒu shí ge xuésheng．,私たちのクラスには十人の生徒がいます。,存在を表す動詞の“有”
82,同学,同級生,tóngxué,我们班大部分同学选修日语。,Wǒmen bān dàbùfen tóngxué xuǎnxiū Rìyǔ.,私たちのクラスの大部分は日本語を選択しています。,動詞述語文
83,教室,教室,jiàoshì,学生们进教室去了。,Xuéshengmen jìn jiàoshì qule．,学生たちは教室に入っていった。,方向補語
84,课本,テキスト,kèběn,我有课本。,Wǒ yǒu kèběn.,私はテキストを持っています。,所有を表す動詞の“有”
85,课文,テキストの文章,kèwén,念课文！,Niàn kèwén！,テキスト本文を読みなさい。,命令
86,本子,ノート,běnzi,我在本子上写字。,Wǒ zài běnzi shang xiě zì．,私はノートに文字を書く。,介詞“在”
87,词典,辞書,cídiǎn,我有汉语词典。,Wǒ yǒu Hànyǔ cídiǎn．,私は中国語の辞書を持っています。,所有を表す動詞の“有”
88,生词,新出単語,shēngcí,今天我们学习很多生词。,Jīntiān wǒmen xuéxie hěn duō shēngcí．,今日私たちはたくさんの新出単語を学びます。,動詞述語文
89,爱好,趣味,àihào,你的爱好很多。,Nǐ de àihào hěn duō．,あなたの趣味はとても多い。,形容詞述語文
90,书,本,shū,这是一本书。,Zhè shì yì běn shū．,これは本です。,“是”構文
91,杂志,雑誌,zázhì,这是一本杂志。,Zhè shì yì běn zázhì．,これは雑誌です。,“是”構文
92,歌儿,歌,gēr,她给我唱一首日本歌儿。,Tā gěi wǒ chàng yì shǒu Rìběngēr．,彼女は私に日本の歌を一曲歌ってくれた。,介詞“给”
93,钢琴,ピアノ,gāngqín,她弹钢琴弹得很好。,Tā tán gāngqín tánde hěn hǎo.,彼女はピアノがうまい。,様態補語
94,电影,映画,diànyǐng,我们去看电影。,Wǒmen qù kàn diànyǐng．,私たちは映画を見に行きます。,動詞述語文
95,电脑,パソコン,diànnǎo,这是电脑。,Zhè shì dìnnǎo．,これはパソコンです。,“是”構文
96,身体,身体,shēntǐ,最近身体怎么样?,Zuìjìn shēntǐ zěnmeyàng?,最近体の調子はどうですか？,疑問詞疑問文
97,头,頭,tóu,我的头疼死了。,Wǒ de tóu téngsǐ le.,頭が割れそうに痛い。,結果補語
98,手,手,shǒu,你猜，我手里有什么？,Nǐ cāi，wǒ shǒuli yǒu shénme ?,私の手の中に何があるか当ててみて。,所有を表す動詞の“有”と命令
99,肚子,腹・丸く膨れている部分,dùzi,肚子真不舒服。,Dùzi zhēn bù shūfu.,お腹がほんとに気持ち悪い。,形容詞述語文
100,大夫,医者・お医者さん（呼びかけにも使える）,dàifu,大夫，我的病严重吗？,Dàifu，wǒ de bìng yánzhòng ma?,先生、私の病気は重いんですか？,形容詞述語文
101,花,花,huā,玫瑰花是爱情之花。,Méigui huā shì àiqíng zhī huā.,バラは恋の花です。,“是”構文
102,天气,天気,tiānqì,今天天气很好。,Jīntiān tiānqì hěn hǎo．,今日は天気がいい。,主述述語文
103,风,風,fēng,雨伞被风刮跑了。,Yǔsǎn bèi fēng guāpǎo le 。,傘は風に飛ばされた。,受け身文
104,雪,雪,xǔe,在那个地方雪是常见的。,Zài nàge dìfang xuě shì chángjiàn de.,あの地方では雪は普通に見られるものです。,もう一つの“是～的”構文
105,太阳,太陽,tàiyáng,太阳下山了。,Tàiyáng xià shān le．,太陽が西に沈んだ。,語気の“了”
106,山,山,shān,我想去爬富士山。,Wǒ xiǎng qù pá Fùshìshān.,私は富士登山に行きたい。,助動詞“想”
107,春天,春,chūntiān,春天这里风沙很大。,Chūntiān zhèli fēngshā hěn dà.,春はここでは砂嵐がひどい。,主述述語文
108,夏天,夏,xiàtiān,我们在夏威夷度过了夏天。,Wǒmen zài Xiàwēiyí dùguòle xiàtiān.,私たちはハワイで夏を過ごした。,介詞“在”
109,秋天,秋,qiūtiān,秋天来到了，白天渐渐短了。,Qiūtiān láidàole，báitiān jiànjiàn duǎn le.,秋がやってくると昼間はだんだん短くなる。,完了の“了”と語気の“了”
110,冬天,冬,dōngtiān,这里的冬天不用炉子。,Zhèli de dōngtiān búyòng lúzi.,ここの冬はストーブがいらない。,動詞述語文
111,前年,おととし,qiánnián,前年我去美国。,Qiánnián wǒ qù Měiguó．,おととし私はアメリカに行った。,動詞述語文
112,去年,去年,qùnián,去年我去上海。,Qùnián wǒ qù Shànghǎi．,去年私は上海に行った,動詞述語文。
113,今年,今年,jīnnián,今年我去北京留学。,Jīnnián wǒ qù Běijīng liúxué．,今年私は北京に留学に行く。,動詞述語文と連動文
114,明年,来年,míngnián,明年我去中国旅游。,Míngnián wǒqù Zhōngguó lǙyóu．,来年私は中国に旅行に行く。,連動文
115,后年,再来年,hòunián,我打算后年去中国留学。,Wǒ dǎsuàn hòunián qù Zhōngguó liúxué.,私は再来年中国に留学するつもりです。,連動文,
116,前天,おととい,qiántiān,前天星期二。,Qiántiān xīngqītiān．,おとといは日曜日です。,名詞述語文,
117,昨天,昨日,zuótiān,昨天我买了一本书。,Zuótiān wǒ mǎile yì běn shū．,昨日私は本をい冊買った。,動詞述語文
118,今天,今日,jīntiān,今天星期天。,Jīntiān shì xīngqītiān．,今日は日曜日です。,名詞述語文
119,明天,明日,míngtiān,明天我去医院。,Míngtiān wǒ qù yīyuàn．,明日私は病院に行きます。,動詞述語文
120,后天,あさって,hòutiān,后天我去我奶奶家。,Hòutiān wǒ qù wǒ nǎinai jiā．,あさって私はお祖母ちゃんの家に行きます。,動詞述語文
121,早上,朝,zǎoshang,早上好！,Zǎoshang hǎo!,おはよう！,
122,白天,昼間,báitiān,白天很暖和。,Báitiān hěn nuǎnhuo,昼間は暖かい。,形容詞述語文
123,傍晚,夕方,bàngwǎn,傍晚的景色非常美丽。,Bàngwǎn de jǐngsè fēicháng měilì.,夕方の景色は非常に美しい。,形容詞述語文
124,夜里,夜,yèli,昨天夜里11点我走路回家。,Zuǒtiān yèli shíyī diǎn wǒ zǒu lù huí jiā.,昨日の夜１１時に私は歩いて家に帰った。,連動文
125,晚上,夜,wǎnshang,晚上再谈吧。,Wǎnshang zài tán ba.,夜また話しましょう。,動詞述語文
126,半夜,真夜中・夜の半分,bànyè,我们得回家了，已经半夜了。,Wǒmen děi huíjiā le，yǐjīng bànyè le.,私たちは帰らなくては。もう夜中になってしまった。,助動詞“得”
127,上午,午前,shàngwǔ,明天上午10点集合。,Míngtiān shàngwǔ shídiǎn jíhé．,明日午前十時に集まります。,動詞述語文
128,中午,お昼,zhōngwǔ,中午我去图书馆。,Zhōngwǔ wǒ qù túshūguǎn．,お昼に私は図書館に行きます。,動詞述語文
129,下午,午後,xiàwǔ,今天下午有课。,Jīntiān xiàwǔ yǒu kè．,今日の午後は授業がある。,所有を表す動詞の“有”
130,每天,毎日,měitiān,我每天学习汉语。,Wǒ měitiān xuéxi Hànyǔ．,私は毎日中国語の勉強をします。,動詞述語文
131,星期天,日曜日,xīngqītiān,星期天我去公园。,Xīngqītiān wǒ qù gōngyuán．,日曜日私は公園に行く。,動詞述語文
132,星期日,日曜日,xīngqīrì,星期日我去公园。,Xīngqīrì wǒ qù gōngyuán．,日曜日私は公園に行く。,動詞述語文
133,星期一,月曜日,xīngqīyī,星期一我休息。,Xīngqīyī wǒ xiūxi．,月曜日私は休む。,動詞述語文
134,星期二,火曜日,xīngqī'èr,星期二我有课。,Xīngqī'èr wǒ yǒu kè．,火曜日私は授業がある。,所有を表す動詞の“有”
135,星期三,水曜日,xīngqīsān,星期三我上街买东西。,Xīngqīsān wǒ shàngjiē mǎi dōngxi．,水曜日私は町に買い物に行く。,連動文
136,星期四,木曜日,xīngqīsì,星期四我去看电影。,Xīngqīsì wǒqù kàn diànyǐng．,木曜日私は映画を見に行く。,動詞述語文
137,星期五,金曜日,xīngqīwǔ,星期五我去博物馆。,Xīngqīwǔ wǒ qù bósùguǎn．,金曜日私は博物館に行く。,動詞述語文
138,星期六,土曜日,xīngqīliù,星期六我去迪斯尼乐园。,Xīngqīliù wǒqù Dísīnílèyuán．,土曜日私はディズニーランドに行く。,動詞述語文
139,上星期,先週,shàngxīngqī,上星期我去博物馆。,Shàngxīngqī wǒ qù bówùguǎn．,先週私は博物館に行った。,動詞述語文
140,上个星期,先週,shàng ge xīngqī,上个星期我去博物馆。,Shàngge xīngqī wǒ qù bówùguǎn．,先週私は博物館に行った。,動詞述語文
141,这星期,今週,zhèxīngqī,这星期有课吗?,Zhèxīngqī yǒu kè ma?,今週授業はありますか？,所有を表す動詞の“有”
142,这个星期,今週,zhège xīngqī,这个星期有课吗?,Zhège xīngqī yǒu kè ma?,今週授業はありますか？,所有を表す動詞の“有”
143,下星期,来週,xiàxīngqī,下星期你去哪儿?,Xiàxīngqī nǐ qù nǎr?,来週あなたはどこに行きますか？,疑問詞疑問文
144,下个星期,来週,xià ge xīngqī,下个星期你去哪儿?,Xià ge xīngqī nǐ qù nǎr?,来週あなたはどこに行きますか？,疑問詞疑問文
145,时间,時間,shíjiān,一年的时间并不算长。,Yì nián de shíjiān bìng bú suàn cháng.,一年という時間は長いとは言えない。,形容詞述語文
146,以前,以前,yǐqián,在我走以前我想看我妈一次。,Zài wǒ zǒu yǐqián wǒ xiǎng kàn wǒ mā yí cì.,出ていく前に母に一度会っておきたかった。,助動詞“想”
147,最后,最後,zuìhòu,最后他粗暴地打断了我的话。,Zuìhòu tā cūbào de dǎduànle wǒ de huà.,最後に彼は乱暴に私の話を打ち切った。,動詞述語文
148,路口,曲がり角,lùkǒu,在前面的路口往右拐就到。,Zài qiánmian de lùkǒu wǎng yòu guǎi jiù dào 。,前の曲がり角を右に曲がると着きます。,介詞“往”
149,十字路口,十字路・交差点,shízì lùkǒu,下一个十字路口往左拐就到。,Xià yí ge shízìlùkǒu wǎng zuǒ guǎi jiù dào.,次の交差点を左に曲がるとすぐです。,介詞“往”と副詞“就”
150,旁边,そば,pángbiān,学校旁边有一个公园。,Xuéxiào pángbiān yǒu gōngyuán．,学校のそばに公園がある。,存在を表す動詞の“有”
151,对面,向かい側,duìmiàn,便利店的对面就是我家。,Biànlìdiàn de duìmiàn jiùshì wǒ jiā 。,コンビニの向かいが私の家です。,“是”構文
152,外边,外・外側,wàibian,外边可以，里边不行。,Wàibian kěyǐ，lǐbian bù xíng.,外はいいけど中はダメです。,助動詞“可以”
153,地方,場所,dìfang,这个地方有点脏。,Zhège dìfang yǒudiǎn zāng.,ここは少し汚い。,“有点儿”
154,前边,前・前の方,qiánbian,听课的时候他总是坐在前边。,Tīngkè de shíhou tā zǒngshì zuòzài qiánbian.,授業の時彼はいつも前の方に座っている。,結果補語
155,后边,後・後の方,hòubian,请排在后边。,Qǐng páizài hòubian.,後ろに並んでください。,結果補語
156,里边,中・中の方,lǐbian,里边请！,Lǐbian qǐng!,中にお入りください！,命令
157,上边,上・上の方,shàngbian,点击上边图像！,Diǎnjī shàngbian túxiàng !,上のアイコンをクリックして！,命令
158,下边,下・下の方,xiàbian,图片下边有说明。,Túpiàn xiàbian yǒu shuōmíng.,図の下に説明がある。,所有を表す動詞の“有”
159,右边,右・右の方,yòubian,右边的那座建筑是我们学校。,Yòubian de nà zuò jiànzhù shì wǒmen xuéxiào.,右側のあの建物は私たちの学校です。,“是”構文
160,左边,左・左側,zuǒbian,左边是放包的地方。,Zuǒbian shì fàng bāo de dìfang.,左側はカバンを置く場所です。,“是”構文
161,谁,誰,shéi,谁是你的哥哥?,Shéi shì nǐ de gēge．,どの人があなたのお兄さんですか？,疑問詞疑問文
162,这,これ,zhè,这是什么?,Zhè shì shénme?,これは何ですか？,疑問詞疑問文
163,那,あれ,nà,那是手机。,Nà shì shǒujī．,あれはケータイです。,“是”構文
164,什么,何,shénme,这是什么?,Zhè shì shénme?,これは何ですか？,“是”構文と疑問詞疑問文
165,多少,いくら・どれほど,duōshao,这个多少钱？,Zhèige duōshao qián?,これはいくらですか？,疑問詞疑問文
166,几,いくつ,jǐ,小朋友，你几岁了？,Xiǎopéngyou,nǐ jǐ suì le?,坊や（お嬢ちゃん）、何歳？,疑問詞疑問文
167,哪个,どの・どれ,nǎge (neǐge),你要哪个？,Nǐ yào nǎge (něige)?,どれがほしいんですか？,疑問詞疑問文
168,哪里,どこ,nǎli,你家在哪里？,Nǐ jiā zài nǎli?,あなたの家はどこにあるんですか？,疑問詞疑問文
169,哪儿,どこ,nǎr,你想去哪儿， 就去哪儿。,Nǐ xiǎng qù nǎr,jiù qù nǎr.,行きたいところに行けば。,疑問詞の呼応表現
170,大家,みんな,dàjiā,大家都走了。,Dàjiā dōu zǒu le.,みんな出かけました。,語気の“了”
171,块,元（通貨の単位）,kuài,一个五十块。,Yí ge wǔshí kuài．,１個５０元です。,名詞述語文
172,个,～つ（人などを数える）,ge,班上只有两个学生。,Bānshang zhǐ yǒu liǎng ge xuésheng.,クラスには生徒が二人しかいない。,存在を表す動詞の“有”
173,口,～人（家族を数える）,kǒu,你家里有几口人？,Nǐ jiāli yǒu jǐ kǒu rén?,何人家族ですか？,所有を表す動詞の“有”と疑問詞疑問文
174,年,～年（年数を数える）,nián,今年不是2020年。,Jīnnián bú shì èr líng èr líng nián.,今年は２０２０年ではない。,名詞述語文
175,去,行く,qù,她去。,Tā qù．,彼女は行きます。,動詞述語文
176,来,来る,lái,他说他明天来。,Tā shuō tā míngtiān lái．,彼は明日来ると言いました。,動詞述語文
177,走,歩く,zǒu,我们走着去吧。,Wǒmen zǒuzhe qù ba．,私たちは歩いて行きましょう。,持続の“着”
178,跑,走る,pǎo,我们跑着去吧。,Wǒmen pǎozhe qù ba.,私たちは走って行きましょう。,持続の“着”
179,回,帰る・戻る,huí,他已经回家了。,Tāmen yǐjing huíjiā le．,彼はもう帰宅しました。,動詞述語文
180,站,立つ,zhàn,她站着看书。,Tā zhànzhe kàn shū．,彼女は立って本を読む。,持続の“着”
181,坐,坐る,zuò,他跟爸爸坐着说话。,Tāgēn bàba zuòzhe shuō huà．,彼は父親と坐って話をする。,介詞“跟”
182,拐,曲がる,guǎi,一直走，到路口往右拐。,Yìzhí zǒu，dào lùkǒu wǎng yòu guǎi.,まっすぐ行き、曲がり角で右に曲がります。,介詞“往”
183,干,やる・する,gàn,你干什么?,Nǐ gàn shénme?,何をするの？,疑問詞疑問文
184,搞,やる・する,gǎo,这工作很难搞。,Zhè gōngzuò hěn nán gǎo．,この仕事は難しい。,形容詞述語文
185,做,する,zuò,你做什么?,Nǐ zuò shénme?,あなたは何をしますか？,疑問詞疑問文
186,看,見る,kàn,爸爸看报纸。,Bàba kàn bàozhǐ．,父は新聞を読みます。,動詞述語文
187,看见,目に入る・見える,kànjiàn,我从新干线里看见了漂亮的富士山。,Wǒ cóng xīngànxiànli kànjiànle piàoliàng de fùshìshān.,私は新幹線から美しい富士山を見た。,介詞“从”
188,听,聴く,tīng,我喜欢听音乐。,Wǒ xǐhuan tīng yīnyuè．,私は音楽を聞くのが好きです。,動詞述語文
189,听见,聞こえる,tīngjiàn,我听见了有人敲门。,Wǒ tīngjiàn yǒu rén qiaō mén.,私は誰かがノックするのを聞いた。,結果補語
190,写,書く,xiě,我天天写中文日记。,Wǒ tiāntiān xiě Zhōngwén rìjì．,私は毎日中国語の日記を書きます。,動詞述語文
191,说,話す,shuō,我说汉语。,Wǒ shuō Hànyǔ．,私は中国語を話す。,動詞述語文
192,讲,話す,jiǎng,你讲个鬼怪故事给我听听吧。,Nǐ jiǎng ge guǐguài gùshi gěi wǒ tīng ting ba.,お化けの話を聞かせて。,介詞“给”
193,谈,話す,tán,我们谈谈现实的问题。,Wǒmen tán tan xiànshí de wèntí.,現実の問題を話しましょう。,動詞の重ね型
194,告诉,伝える,gàosu,请告诉我你的电话号码儿。,Qǐng gàosu wǒ nǐ de diànhuà hàomǎr 。,あなたの電話番号を教えてください。,命令
195,想,考える,xiǎng,你想什么?,Nǐ xiǎng shénme?,あなたは何を考えているの？,動詞述語文と疑問詞疑問文
196,问,聞く・尋ねる,wèn,请问，王老师在家吗?,Qǐng wèn，Wáng lǎoshī zài jiā ma?,すみません、王先生はご在宅ですか？,存在を表す動詞の“在”
197,要,いる・もらう,yào,你要什么?,Nǐ yào shénme?,あなたは何がほしいの？,疑問詞疑問文
198,打,打つ,dǎ,别打她！,Bié dǎ tā！,彼女をたたかないで！,禁止
199,开,開ける・運転する,kāi,门都开着。,Mén dōu kāizhe．,ドアがあいている。,持続の“着”
200,给,与える,gěi,请给我这个。,Qǐng gěi wǒ zhège.,これをください。,二重目的語の文
201,叫,（名前は）～と言う,jiào,我叫王明。,Wǒ jiào Wáng Míng．,私は王明と言います。,動詞述語文
202,姓,～という苗字だ,xìng,我姓王。,Wǒ xìng Wáng．,私は王と申します。,動詞述語文
203,请,お願いする・招く・ご馳走する,qǐng,他们请我去吃饭。,Tāmen qǐng wǒ qù chīfàn．,彼らは私にご馳走してくれた。,使役文と兼語文
